epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3551.1,0.8484,0.60072,0.83806,0.94811,0.95,0.904,0.69864,0.80525,0.61536,0.96508,0.0011684,0.0011684,0.0011684
44,3634.6,0.84705,0.58518,0.84246,0.94845,0.95,0.9025,0.7171,0.74008,0.56115,0.95858,0.0011486,0.0011486,0.0011486
45,3715.9,0.79235,0.61029,0.87177,0.94591,0.95,0.9025,0.68533,0.8383,0.6049,0.94885,0.0011288,0.0011288,0.0011288
46,3800.65,0.86743,0.57494,0.8637,0.94819,0.95,0.92,0.73746,0.81667,0.60521,0.95082,0.001109,0.001109,0.001109
47,3887.23,0.78998,0.53104,0.86784,0.94802,0.95,0.93181,0.76211,0.75727,0.60808,0.96103,0.0010892,0.0010892,0.0010892
48,3970.34,0.8065,0.55353,0.85707,0.94839,0.95,0.92173,0.73926,0.79799,0.59715,0.95469,0.0010694,0.0010694,0.0010694
49,4048.13,0.82997,0.58349,0.86919,0.94831,0.95,0.9215,0.76918,0.7259,0.54581,0.94572,0.0010496,0.0010496,0.0010496
50,4131.21,0.76234,0.53513,0.8479,0.94835,0.95,0.91978,0.7553,0.77164,0.53917,0.9592,0.0010298,0.0010298,0.0010298
51,4208.97,0.7516,0.53354,0.85152,0.94826,0.95,0.9221,0.74148,0.75224,0.54357,0.94504,0.00101,0.00101,0.00101
52,4288.3,0.80787,0.52855,0.86575,0.94818,0.95,0.9256,0.73938,0.77652,0.53064,0.95336,0.0009902,0.0009902,0.0009902
53,4371.67,0.7867,0.55576,0.87731,0.94817,0.95,0.92233,0.75984,0.73664,0.50564,0.94132,0.0009704,0.0009704,0.0009704
54,4451.12,0.69217,0.48449,0.84244,0.94814,0.95,0.91,0.74635,0.69411,0.48249,0.94212,0.0009506,0.0009506,0.0009506
55,4533.66,0.74685,0.49546,0.8392,0.94828,0.95,0.9115,0.73832,0.68849,0.50968,0.94971,0.0009308,0.0009308,0.0009308
56,4619.31,0.73803,0.53118,0.8517,0.94826,0.95,0.905,0.72588,0.73333,0.4958,0.95079,0.000911,0.000911,0.000911
57,4700.76,0.79045,0.52998,0.85484,0.9483,0.95,0.904,0.74305,0.75571,0.52601,0.94282,0.0008912,0.0008912,0.0008912
58,4784.28,0.81262,0.51467,0.84653,0.9484,0.95,0.904,0.7454,0.72607,0.52355,0.93898,0.0008714,0.0008714,0.0008714
59,4868.12,0.75742,0.56388,0.85749,0.94825,0.95,0.9165,0.75973,0.75054,0.51621,0.94907,0.0008516,0.0008516,0.0008516
60,4948.55,0.71579,0.50152,0.85213,0.94827,0.95,0.91823,0.7637,0.73675,0.50804,0.96396,0.0008318,0.0008318,0.0008318
61,5028.24,0.74778,0.47466,0.84398,0.94836,0.95,0.92259,0.74552,0.73587,0.50509,0.97749,0.000812,0.000812,0.000812
62,5109.75,0.78209,0.52565,0.86545,0.94835,0.95,0.91692,0.74946,0.6987,0.48683,0.94675,0.0007922,0.0007922,0.0007922
63,5194.04,0.74591,0.53346,0.86631,0.94831,0.95,0.92012,0.77252,0.68205,0.50393,0.94232,0.0007724,0.0007724,0.0007724
64,5279.12,0.74914,0.49035,0.84823,0.9484,0.95,0.9175,0.76186,0.72503,0.50021,0.95575,0.0007526,0.0007526,0.0007526
65,5365.54,0.72821,0.45885,0.84903,0.94834,0.95,0.90977,0.74494,0.71905,0.50209,0.94959,0.0007328,0.0007328,0.0007328
66,5450.38,0.73017,0.48425,0.85869,0.94833,0.95,0.905,0.756,0.68966,0.49959,0.94938,0.000713,0.000713,0.000713
67,5534.61,0.73816,0.47486,0.84027,0.94842,0.95,0.904,0.76977,0.68857,0.49977,0.9547,0.0006932,0.0006932,0.0006932
68,5619.43,0.75286,0.51041,0.84426,0.94827,0.95,0.90977,0.75822,0.71779,0.5098,0.95957,0.0006734,0.0006734,0.0006734
